TransDate,Account,Customer,Department,Amount
18-Jul-16,75749,John Grady,140,3957
18-Jul-16,67942,Patricia Hirasaki,305,3911
19-Jul-16,57499,Katrina Willman,483,3344
19-Jul-16,58208,Ken Heidel,377,3539
19-Jul-16,47077,Irene Maddox,284,1190
19-Jul-16,57450,Alejandro Grove,258,1437
19-Jul-16,68227,Ken Black,355,4515
20-Jul-16,82701,Andy Gerbode,387,1116
20-Jul-16,70859,Luke Foster,407,2578
21-Jul-16,51829,Ben Peterman,123,969
21-Jul-16,85605,Allen Rosenblatt,230,1628
21-Jul-16,55067,Odella Nelson,342,4143
22-Jul-16,76369,Alan Hwang,493,2283
22-Jul-16,71031,Muhammed MacIntyre,133,641
22-Jul-16,55021,Troy Blackwell,101,534
22-Jul-16,54925,Brian Dahlen,395,4948
22-Jul-16,80758,Emily Phan,387,677
22-Jul-16,45313,Adrian Shami,175,1575
22-Jul-16,57114,Gene Hale,346,2906
23-Jul-16,77016,Clay Cheatham,419,1196
24-Jul-16,71117,Roy Französisch,463,2834
24-Jul-16,85376,Philisse Overcash,376,3208
24-Jul-16,69699,Allen Armold,373,679
25-Jul-16,71717,Dan Reichenbach,253,4918
25-Jul-16,70131,Kelly Lampkin,323,4930
25-Jul-16,47149,Erin Mull,430,2813
25-Jul-16,48716,Harold Pawlan,213,2206
25-Jul-16,72216,Linda Cazamias,107,587
25-Jul-16,54912,Brendan Sweed,357,4493
26-Jul-16,58740,Don Jones,289,4485
26-Jul-16,46295,John Lucas,409,917
26-Jul-16,55402,Laura Armstrong,211,3080
26-Jul-16,54460,Jack Garza,327,556
26-Jul-16,73589,Raymond Buch,392,4908
26-Jul-16,49699,Darren Koutras,258,4280
27-Jul-16,60906,Sean Braxton,163,3267
27-Jul-16,68879,Barry Blumstein,409,2827
27-Jul-16,68059,Jas O'Carroll,425,1485
27-Jul-16,66068,Astrea Jones,324,1174
27-Jul-16,55438,Matt Abelman,369,2141
27-Jul-16,63647,Steve Nguyen,404,4159
28-Jul-16,53334,Nick Zandusky,253,1412
28-Jul-16,66298,Denny Ordway,223,553
28-Jul-16,67252,Caroline Jumper,334,1028
28-Jul-16,48142,Sanjit Chand,155,1479
28-Jul-16,77555,Xylona Preis,467,812
28-Jul-16,85518,Andrew Allen,395,2595
29-Jul-16,53203,Patrick O'Brill,194,2809
29-Jul-16,78908,Alyssa Crouse,176,580
29-Jul-16,50786,Saphhira Shifley,355,4061
29-Jul-16,56587,Karen Bern,304,3207
29-Jul-16,84442,Bradley Drucker,135,4180
29-Jul-16,53076,Eric Hoffmann,305,659
29-Jul-16,84629,Ruben Ausman,248,3598
29-Jul-16,87663,Erin Smith,400,2145
29-Jul-16,66646,Henry MacAllister,463,4288
30-Jul-16,60651,Alejandro Savely,196,1756
30-Jul-16,72039,Ross Baird,115,2260
30-Jul-16,70083,Carl Weiss,423,1654
30-Jul-16,58758,Jasper Cacioppo,420,778
30-Jul-16,80747,Greg Tran,277,4021
30-Jul-16,42824,Lena Hernandez,326,4500
31-Jul-16,44984,Kristen Hastings,304,1552
31-Jul-16,87839,Corey Roper,242,4355
31-Jul-16,54423,Grace Kelly,288,2434
31-Jul-16,54309,Nathan Gelder,181,917
